[2026-04-25T09:20:22.323+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/107 [status:200 request:0.020s]
[2026-04-25T09:20:22.338+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/108 [status:200 request:0.009s]
[2026-04-25T09:20:22.351+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/109 [status:200 request:0.008s]
[2026-04-25T09:20:22.363+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/110 [status:200 request:0.008s]
[2026-04-25T09:20:22.376+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/111 [status:200 request:0.009s]
[2026-04-25T09:20:22.426+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/112 [status:200 request:0.045s]
[2026-04-25T09:20:22.463+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/113 [status:200 request:0.020s]
[2026-04-25T09:20:22.482+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/114 [status:200 request:0.015s]
[2026-04-25T09:20:22.519+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/115 [status:200 request:0.027s]
[2026-04-25T09:20:22.538+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/116 [status:200 request:0.014s]
[2026-04-25T09:20:22.554+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/117 [status:200 request:0.011s]
[2026-04-25T09:20:22.569+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/118 [status:200 request:0.009s]
[2026-04-25T09:20:22.584+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/119 [status:200 request:0.009s]
[2026-04-25T09:20:22.599+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/120 [status:200 request:0.010s]
[2026-04-25T09:20:22.616+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/121 [status:200 request:0.011s]
[2026-04-25T09:20:22.644+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/122 [status:200 request:0.023s]
[2026-04-25T09:20:22.659+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/123 [status:200 request:0.011s]
[2026-04-25T09:20:22.678+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/124 [status:200 request:0.011s]
[2026-04-25T09:20:22.693+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/125 [status:200 request:0.011s]
[2026-04-25T09:20:22.705+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/126 [status:200 request:0.008s]
